ACC.TO,AMICA MATURE,Long-Term Care Facilities,"Quote , Chart , News"
ADK,Adcare Health Systems Inc Commo,Long-Term Care Facilities,"Quote , Profile , Insider , Financials , Analyst Ratings"
ARV.NZ,Arvida Group Limited Ordinary S,Long-Term Care Facilities,"Quote , Profile , Research"
1112.HK,BIOSTIME,Long-Term Care Facilities,"Quote , News , Profile , Research"
BKD,Brookdale Senior Living Inc. Co,Long-Term Care Facilities,"Quote , Profile , Research , Msgs , Insider , Financials , Analyst Ratings"
CSU,Capital Senior Living Corporati,Long-Term Care Facilities,"Quote , Chart , News , Profile , Research , SEC , Msgs , Insider , Financials , Analyst Ratings"
CIVI,"Civitas Solutions, Inc. Common",Long-Term Care Facilities,"Quote , Profile , Research , Insider , Financials"
DVCR,Diversicare Healthcare Services,Long-Term Care Facilities,"Quote , Profile , Insider , Financials"
EHE.AX,ESTIA HLTH FPO,Long-Term Care Facilities,"Quote , Profile , Research"
EXE.TO,EXTENDICARE INC,Long-Term Care Facilities,"Quote , Chart , News , Profile , Research"
EVHC,"Envision Healthcare Holdings, I",Long-Term Care Facilities,"Quote , Profile , Research , Insider , Financials"
FUTU,FUTURE HEALTHCARE,Long-Term Care Facilities,Quote
FVE,"Five Star Quality Care, Inc.",Long-Term Care Facilities,"Quote , Research , Insider , Financials"
GEN,"Genesis Healthcare, Inc. Common",Long-Term Care Facilities,"Quote , Profile , Research , Insider , Financials"
JHC.AX,JAPARA FPO,Long-Term Care Facilities,"Quote , Profile , Research"
0397.HK,JUN YANG FIN,Long-Term Care Facilities,"Quote , Chart , Profile"
KWA.V,KINGSWAY ARMS RETIREMENT RESIDE,Long-Term Care Facilities,"Quote , News"
KND,"Kindred Healthcare, Inc. Common",Long-Term Care Facilities,"Quote , Chart , Profile , Research , Msgs , Insider , Financials , Analyst Ratings"
LNA.PA,LE NOBLE AGE,Long-Term Care Facilities,"Quote , News , Profile , Research"
LCMD,LIFE CARE MED DEVICE,Long-Term Care Facilities,Quote
LCMDE,LIFE CARE MED DEVICE,Long-Term Care Facilities,Quote
MDCR,MEDICUS HOMECARE I COM USD0.001,Long-Term Care Facilities,Quote
MEQ.AX,METLIFE FPO NZX,Long-Term Care Facilities,Quote
MET.NZ,Metlifecare Limited Ordinary sh,Long-Term Care Facilities,"Quote , Chart , Profile , Research"
NHC,National HealthCare Corporation,Long-Term Care Facilities,"Quote , Chart , News , Profile , Research , SEC , Msgs , Insider , Financials"
ORP.PA,ORPEA,Long-Term Care Facilities,"Quote , Chart , News , Profile , Research"
PNSB.BR,PNS,Long-Term Care Facilities,Quote
PGND,"Press Ganey Holdings, Inc. Comm",Long-Term Care Facilities,"Quote , Profile , Research , Insider , Financials"
REG.AX,REG HEALTH FPO,Long-Term Care Facilities,"Quote , Profile , Research"
RLC.TO,REGAL LIFESTYLE COMMUNITIES INC,Long-Term Care Facilities,Quote
RYM.NZ,Ryman Healthcare Limited Ordina,Long-Term Care Facilities,"Quote , Chart , Profile , Research"
SNZ.AX,SUMMERSET FPO NZX,Long-Term Care Facilities,"Quote , Profile"
MLTDS.PA,THERMES DE SAUJON,Long-Term Care Facilities,Quote
ENSG,"The Ensign Group, Inc.",Long-Term Care Facilities,"Quote , Profile , Research , Insider , Financials , Analyst Ratings"
